county,2019,2020,2021
Monroe,58,859,61,273,65,224
Montgomery,35,749,39,594,43,358
Morgan,41,094,45,084,49,678
Moultrie,68,254,69,993,76,100
Ogle,45,804,48,779,53,050
Peoria,50,204,54,337,57,439
Perry,37,650,41,138,43,777
Piatt,52,688,57,821,63,905
Pike,42,460,49,038,54,377
Pope,32,333,37,027,39,435
Pulaski,38,088,43,077,48,561
Putnam,64,855,66,005,74,073
Randolph,39,538,43,472,46,251
Richland,41,322,45,501,49,491
Rock Island,44,142,47,999,51,429
St. Clair,46,492,50,387,54,185
Saline,39,674,43,234,47,402
Sangamon,49,465,53,056,57,206
Schuyler,43,341,48,279,51,383
Scott,40,420,46,038,52,741
Shelby,42,023,46,683,51,977
Stark,41,033,48,612,56,551
Stephenson,43,040,46,579,50,815
Tazewell,48,427,52,046,54,768
Union,41,799,46,260,49,595
Vermilion,40,054,44,975,49,265
Wabash,43,157,47,397,51,743
Warren,40,380,46,032,52,506
Washington,48,833,53,581,58,419
Wayne,39,153,43,465,48,754
White,47,588,50,024,55,372
Whiteside,43,859,48,391,52,341
Will,54,695,57,813,62,272
Williamson,45,632,48,962,52,329
Winnebago,43,550,47,062,50,510
Woodford,52,324,56,401,60,004
Indiana,48,749,52,219,56,497
Adams,40,009,42,799,47,209
Allen,47,398,50,640,54,681
Bartholomew,54,102,57,535,61,136
Benton,41,626,47,708,53,602
Blackford,37,571,40,164,44,325
Boone,77,754,80,234,84,985
Brown,48,886,51,632,55,345
Carroll,43,495,47,182,51,293
Cass,39,944,43,741,47,854
Clark,45,333,48,359,51,887
Clay,37,716,41,155,44,878
Clinton,38,411,41,545,45,305
Crawford,35,150,38,485,41,854
Daviess,43,822,48,845,53,008
Dearborn,49,254,52,083,55,782
Decatur,45,351,49,285,53,393
DeKalb,45,923,48,731,51,961
Delaware,38,762,42,000,45,325
Dubois,54,920,58,283,60,954
Elkhart,45,873,49,321,55,007
Fayette,40,402,43,818,47,588
Floyd,55,680,58,165,62,578
Fountain,40,485,44,585,48,583
Franklin,47,166,50,978,54,451
Fulton,42,021,45,545,49,205
Gibson,46,659,50,211,53,562
Grant,39,179,42,730,46,892
Greene,42,766,46,273,50,131
Hamilton,78,231,81,233,85,814
Hancock,51,936,54,658,58,095
Harrison,44,710,47,866,51,770
Hendricks,51,087,54,712,59,804
Henry,39,075,42,443,46,146
Howard,41,863,44,266,47,031
Huntington,42,151,45,486,49,571
Jackson,42,316,45,605,49,451
Jasper,45,885,50,378,55,018
Jay,37,476,42,428,49,300
Jefferson,43,626,47,176,50,734
Jennings,41,278,44,993,49,519
Johnson,50,351,53,112,56,808
Knox,45,022,49,308,53,525
Kosciusko,48,562,51,892,55,625
Lagrange,41,365,44,238,49,767
Lake,45,470,48,523,53,181
LaPorte,42,076,45,323,49,508
Lawrence,43,253,47,040,51,160
Madison,39,056,42,185,45,755
Marion,55,588,60,608,65,625
Marshall,42,506,46,031,51,474
Martin,40,765,45,326,49,082
Miami,34,864,37,084,40,179
Monroe,46,097,48,974,52,392
Montgomery,40,969,44,618,48,866
Morgan,44,963,47,662,51,539
Newton,41,129,45,837,51,905
Noble,41,110,44,250,48,060
Ohio,41,348,47,762,51,321
Orange,37,776,40,516,43,422
Owen,41,009,44,533,48,681
Parke,39,311,44,103,48,252
Perry,37,609,39,290,42,358
Pike,42,008,45,073,47,977
Porter,54,443,56,975,61,250
Posey,51,402,55,295,59,105
Pulaski,44,616,49,878,54,133
Putnam,39,329,42,380,45,681
Randolph,38,553,43,349,49,116
Ripley,42,128,45,942,49,158
Rush,45,821,49,214,54,210
St. Joseph,47,847,50,612,56,122
Scott,37,960,40,916,44,678
Shelby,44,467,47,828,52,065
Spencer,46,564,48,915,52,615
Starke,34,983,38,297,42,083
Steuben,45,775,48,787,52,244
Sullivan,36,116,39,300,43,091
Switzerland,35,385,39,226,42,481
Tippecanoe,41,299,43,243,45,950
Tipton,45,677,48,982,51,881
Union,39,262,43,019,47,359
Vanderburgh,47,942,51,565,55,099
Vermillion,37,909,41,723,45,487
Vigo,39,159,42,511,45,767
Wabash,42,830,46,803,51,300
Warren,42,880,48,047,52,196
Warrick,59,014,61,250,64,880
Washington,39,427,43,081,47,858
Wayne,41,867,45,140,48,785
Wells,42,667,45,661,49,953
White,43,407,47,617,51,422
Whitley,47,331,50,179,53,969
Iowa,50,367,53,312,57,163
Adair,49,947,54,324,61,765
Adams,56,104,53,550,62,223
